ImageId,CellId,Cell_10_FAP,Cell_11_ITGA11,Cell_12_FOXP3,Cell_13_CD4,Cell_14_ECad,Cell_15_CD68,Cell_16_CD20,Cell_17_CD8,Cell_18_TenascinC,Cell_19_GranzymeB,Cell_1_aSMA,Cell_20_Ki67,Cell_21_Collagen1,Cell_22_FSP1,Cell_23_CD146,Cell_24_CD90,Cell_25_DNA1,Cell_26_DNA,Cell_2_EGFR,Cell_3_Podoplanin,Cell_4_YAP1,Cell_5_Caveolin,Cell_6_CD16,Cell_7_CD163,Cell_8_CD140b,Cell_9_CD31,Area,Eccentricity,Solidity,Extent,EulerNumber,Perimeter,MajorAxisLength,MinorAxisLength,Orientation,X_position,Y_position,Percent_Touching,Number_Neighbors,neighbour_4_CellId1,neighbour_4_CellId2,neighbour_4_CellId3,neighbour_4_CellId4,neighbour_4_CellId5,neighbour_4_CellId6,neighbour_4_CellId7
65535,986,0.0491803288459778,0,0.0327868834137917,0.0491803288459778,0.131147533655167,0.426229506731033,0,0.0327868834137917,0.737704932689667,0.245901644229889,1.70491802692413,0,11.6065578460693,3.88524580001831,0,8.93442630767822,287.721313476563,506.655731201172,0.4426229596138,0,0.377049177885056,0.0491803288459778,0.0819672122597694,0.0163934417068958,2.18032789230347,0,61,0.867434084415436,0.910447776317596,0.670329689979553,1,28.5650005340576,12.7423009872437,6.33995866775513,1.18810284137726,101.934425354004,315.836059570313,0.972222222222222,3,961,966,1006,0,0,0,0
65535,987,0.178082197904587,0,0.0684931501746178,0.178082197904587,0.15068493783474,0.328767120838165,0,0.0684931501746178,0.109589040279388,0.273972600698471,2.91780829429626,0,15.6164379119873,4.90410947799683,0.0273972600698471,12.6164379119873,155.657531738281,279.315063476563,0.260273963212967,0,0.438356161117554,0.0547945201396942,0.219178080558777,0.15068493783474,3.83561635017395,0.0136986300349236,73,0.789027869701386,1,0.86904764175415,1,28.5319995880127,12.4020557403564,7.6192946434021,-2.32721710205078,395.712341308594,316.082183837891,0.323529411764706,1,968,0,0,0,0,0,0
65535,988,0.0500000007450581,0,0.025000000372529,0.0625,0.212500005960464,0.125,0,0,0.762499988079071,0.324999988079071,5.19999980926514,0,20.2749996185303,3.63750004768372,0.0125000001862645,12.2875003814697,191.637496948242,346.612487792969,0.600000023841858,0.025000000372529,0.6875,0.262499988079071,0,0,1.72500002384186,0.0125000001862645,80,0.891494750976563,0.941176474094391,0.615384638309479,1,32.6920013427734,15.3381223678589,6.94864463806152,28.1171455383301,197.512496948242,316.087493896484,0,0,0,0,0,0,0,0,0
65535,989,0.0941176488995552,0,0.105882354080677,0.0588235296308994,0.129411771893501,0.647058844566345,0,0.0352941192686558,0.294117659330368,0.129411771893501,1.61176466941834,0,14.0588235855103,2.1294116973877,0.0117647061124444,4.90588235855103,209.823532104492,381.788238525391,0.0470588244497776,0,0.411764711141586,0.0352941192686558,0,0,1.44705879688263,0,85,0.694701671600342,0.965909063816071,0.787037014961243,1,30.7070007324219,12.3739852905273,8.9005823135376,-6.69203329086304,292.552947998047,316.458831787109,0.368421052631579,2,1011,1026,0,0,0,0,0
65535,990,0.128571435809135,0,0.0571428574621677,0.0714285746216774,0.185714289546013,0.300000011920929,0,0,0.72857141494751,0.171428576111794,3.77142858505249,0.0428571440279484,15.542857170105,1.94285714626312,0,10.3999996185303,94.9714279174805,165.342849731445,0.300000011920929,0,0.28571429848671,0.0428571440279484,0.0714285746216774,0,2.08571434020996,0.0714285746216774,70,0.55229252576828,0.945945918560028,0.777777791023254,1,27.431999206543,10.462550163269,8.72210884094238,-87.0925750732422,115.742858886719,317.299987792969,0.147058823529412,1,1006,0,0,0,0,0,0
65535,991,0.0555555559694767,0.0277777779847384,0.0555555559694767,0.194444447755814,0.277777791023254,1.02777779102325,0,0.0277777779847384,0.138888895511627,0.277777791023254,3.44444441795349,0.0277777779847384,12.1666669845581,4.61111116409302,0,7.02777767181396,265.361114501953,461.194458007813,0.0277777779847384,0,0.305555552244186,0.0277777779847384,2.13888883590698,1.61111116409302,1.27777779102325,0.0555555559694767,36,0.708726525306702,0.947368443012238,0.642857134342194,1,19.3110008239746,8.21748828887939,5.79730081558228,27.5996646881104,661.388916015625,317.166656494141,1,4,970,992,1008,1017,0,0,0
65535,992,0.0444444455206394,0,0,0.0222222227603197,0.0888888910412788,0.0666666701436043,0,0,0.0888888910412788,0.0888888910412788,2.15555548667908,0,8.51111125946045,2.40000009536743,0,7.86666679382324,226.644439697266,403.933319091797,0.111111111938953,0,0.133333340287209,0,0,0,2.42222213745117,0,45,0.861163854598999,1,0.899999976158142,1,22.4449996948242,10.7155838012695,5.44702577590942,1.71288812160492,670.577758789063,317.04443359375,0.384615384615385,2,991,1024,0,0,0,0,0
65535,993,0.216867476701736,0,0.0120481923222542,0.120481930673122,0.14457830786705,0.180722892284393,0.0120481923222542,0.0120481923222542,3.13253021240234,0.216867476701736,7.59036159515381,0,10.7831325531006,3.28915667533875,0,8.46987915039063,56.5301208496094,101.578315734863,0.25301206111908,0,0.0963855385780334,0.180722892284393,0.54216867685318,0.120481930673122,2.14457821846008,0.0361445769667625,83,0.733448028564453,0.965116262435913,0.864583313465118,1,30.2189998626709,12.5604667663574,8.53792190551758,-2.50409054756165,9.22891521453857,317.409637451172,0.777777777777778,3,959,995,1025,0,0,0,0
65535,994,0.144230768084526,0,0.0673076957464218,0.0961538478732109,0.173076927661896,1.08653843402863,0,0.163461536169052,0.653846144676209,0.144230768084526,5.63461542129517,0.0384615398943424,11.7307691574097,4.79807710647583,0,9.49038505554199,178.240386962891,315.086547851563,0.25,0.00961538497358561,0.509615361690521,0.192307695746422,1.08653843402863,0.115384615957737,1.98076927661896,0.0865384638309479,104,0.849914371967316,0.912280678749084,0.649999976158142,1,37.2820014953613,16.1578598022461,8.51391315460205,-5.2695198059082,232.259613037109,317.144226074219,0.617021276595745,2,967,1010,0,0,0,0,0
65535,995,0.240506336092949,0,0.101265825331211,0.164556965231895,0.341772139072418,1.08860754966736,0,0.0759493634104729,2.43037962913513,0.240506336092949,4.26582288742065,0.215189874172211,16.4430370330811,4.34177207946777,0.0126582281664014,10.9873418807983,229.860763549805,408.139251708984,1.46835446357727,0,0.696202516555786,0.202531650662422,0.367088615894318,0.341772139072418,2.77215194702148,0.0379746817052364,79,0.623611330986023,0.940476179122925,0.731481492519379,1,29.7810001373291,11.4627094268799,8.96079635620117,85.6308517456055,19.2151889801025,318.303802490234,0.918918918918919,6,959,963,974,993,1025,1041,0
